# s=min|phi|/h  theta=minV/h2  L2(phiFD)  kappa(phiFD)  L2(cutcell)  kappa(cutcell)
1.171155e-04 1.299536e-08 5.701519e-03 4.199066e+03 4.888568e-03 4.849495e+04
2.147994e-04 1.804207e-07 5.314558e-03 4.133110e+03 7.901810e-03 1.255049e+04
3.969096e-04 9.985213e-07 5.560875e-03 4.151823e+03 3.413012e-03 4.054409e+03
4.902939e-04 9.765934e-08 4.642692e-03 4.173716e+03 5.025413e-03 1.779599e+04
5.668730e-04 1.148644e-06 5.438912e-03 4.359016e+03 5.338257e-03 4.262943e+03
8.007927e-04 2.354607e-07 4.594904e-03 4.153003e+03 6.583375e-03 1.105700e+04
1.201529e-03 7.073131e-06 5.421767e-03 4.304157e+03 6.105303e-03 3.651231e+03
1.410110e-03 9.318154e-07 4.849932e-03 4.320660e+03 6.594200e-03 5.855278e+03
1.838586e-03 7.358972e-06 5.177724e-03 4.148351e+03 4.977544e-03 3.653056e+03
2.118716e-03 1.414419e-06 4.384878e-03 4.135120e+03 2.463181e-03 4.486714e+03
2.344517e-03 5.969744e-06 5.575154e-03 4.331661e+03 5.026910e-03 3.600681e+03
2.768734e-03 1.663897e-05 5.009208e-03 4.087641e+03 7.029364e-03 3.620996e+03
3.492589e-03 2.686437e-04 4.357386e-03 4.249487e+03 6.543976e-03 3.525975e+03
3.913625e-03 7.492080e-05 5.535931e-03 4.419064e+03 4.426302e-03 3.679232e+03
4.355597e-03 1.507726e-04 5.541250e-03 4.289138e+03 4.616610e-03 3.709542e+03
4.850741e-03 2.062119e-04 5.299605e-03 4.555689e+03 4.487292e-03 3.703813e+03
5.614582e-03 2.215824e-05 4.802598e-03 4.227394e+03 3.984519e-03 3.604762e+03
6.205761e-03 3.649271e-05 4.801765e-03 4.245133e+03 3.451663e-03 3.595422e+03
7.043819e-03 1.969166e-05 4.450253e-03 4.100524e+03 3.370368e-03 3.589543e+03
7.885115e-03 2.881952e-04 5.434466e-03 4.270675e+03 5.888233e-03 3.648951e+03
8.411724e-03 8.645001e-05 4.405416e-03 4.147243e+03 4.124613e-03 3.595118e+03
9.483503e-03 2.659078e-04 4.361553e-03 4.268672e+03 6.151872e-03 3.534005e+03
1.134335e-02 4.335303e-04 4.731844e-03 4.321417e+03 4.367435e-03 3.585547e+03
1.294366e-02 2.665878e-04 4.374896e-03 4.093753e+03 4.626513e-03 3.576258e+03
1.466837e-02 1.353286e-03 5.569731e-03 4.163647e+03 3.305207e-03 3.721767e+03
1.661372e-02 4.951260e-04 4.353058e-03 4.195161e+03 6.271010e-03 3.519516e+03
1.806478e-02 3.575386e-03 5.554738e-03 4.493033e+03 4.341900e-03 3.656126e+03
2.121979e-02 4.699170e-04 5.444855e-03 4.266990e+03 5.728107e-03 3.642945e+03
2.372351e-02 3.956017e-04 4.794974e-03 4.344298e+03 4.613154e-03 3.588269e+03
2.644434e-02 3.491816e-03 5.685698e-03 4.311034e+03 4.716925e-03 3.689170e+03
3.042471e-02 8.770255e-04 5.704063e-03 4.309942e+03 4.171849e-03 3.695419e+03
3.286590e-02 2.217024e-03 4.893316e-03 4.236619e+03 7.290022e-03 3.534541e+03
3.703173e-02 1.002209e-03 4.377521e-03 4.122912e+03 5.370951e-03 3.557296e+03
4.232855e-02 9.273857e-03 5.598014e-03 4.354639e+03 5.689688e-03 3.601769e+03
4.836523e-02 2.739417e-03 5.069656e-03 4.267017e+03 6.030343e-03 3.566460e+03
5.380146e-02 1.670503e-03 4.361673e-03 4.329730e+03 4.828048e-03 3.532522e+03
6.392134e-02 1.297386e-02 5.609848e-03 4.417507e+03 6.124189e-03 3.524019e+03
7.085699e-02 6.362373e-03 5.148541e-03 4.269252e+03 4.449232e-03 3.590253e+03
7.563049e-02 4.138200e-03 4.377493e-03 4.160706e+03 5.813502e-03 3.536007e+03
8.776369e-02 1.088806e-02 4.585742e-03 4.212412e+03 6.701389e-03 3.574595e+03
