# is_fem  dofs  h  L2_error  mesh_s  solve_s
0.000000e+00 8.700000e+01 1.000000e-01 2.186718e-02 0.000000e+00 3.277767e-03
0.000000e+00 3.550000e+02 5.000000e-02 5.399179e-03 0.000000e+00 3.615768e-03
0.000000e+00 1.407000e+03 2.500000e-02 1.345301e-03 0.000000e+00 7.620282e-03
0.000000e+00 5.621000e+03 1.250000e-02 3.358381e-04 0.000000e+00 2.527278e-02
0.000000e+00 2.247900e+04 6.250000e-03 8.399626e-05 0.000000e+00 1.062136e-01
1.000000e+00 1.720000e+02 8.000000e-02 1.980854e-02 2.284141e-01 1.461581e-03
1.000000e+00 6.660000e+02 4.000000e-02 4.112347e-03 2.520963e-02 3.938607e-03
1.000000e+00 2.569000e+03 2.000000e-02 9.908610e-04 9.479823e-02 1.534998e-02
1.000000e+00 1.023300e+04 1.000000e-02 2.362557e-04 3.599127e-01 6.991050e-02
1.000000e+00 4.073200e+04 5.000000e-03 5.839723e-05 1.550701e+00 3.752538e-01
