# min|phi|/h  L2(phiFD) kappa(phiFD)  L2(ghost) kappa(ghost)
1.171155e-04 5.701519e-03 4.199066e+03 1.150602e-02 4.228450e+03
2.147994e-04 5.314558e-03 4.133110e+03 8.447878e-03 4.073999e+03
3.969096e-04 5.560875e-03 4.151823e+03 4.358247e-03 4.053384e+03
4.902939e-04 4.642692e-03 4.173716e+03 4.666088e-03 4.119868e+03
5.668730e-04 5.438912e-03 4.359016e+03 3.987355e-03 4.262989e+03
8.007927e-04 4.594904e-03 4.153003e+03 7.682655e-03 4.116375e+03
1.201529e-03 5.421767e-03 4.304157e+03 6.256483e-03 4.180419e+03
1.410110e-03 4.849932e-03 4.320660e+03 6.469589e-03 4.260849e+03
1.838586e-03 5.177724e-03 4.148351e+03 9.900234e-03 4.092209e+03
2.118716e-03 4.384878e-03 4.135120e+03 1.035272e-02 4.105856e+03
2.344517e-03 5.575154e-03 4.331661e+03 1.164351e-02 4.318587e+03
2.768734e-03 5.009208e-03 4.087641e+03 5.739791e-03 4.025715e+03
3.492589e-03 4.357386e-03 4.249487e+03 1.550133e-02 4.167538e+03
3.913625e-03 5.535931e-03 4.419064e+03 1.120524e-02 4.326699e+03
4.355597e-03 5.541250e-03 4.289138e+03 5.947852e-03 4.216684e+03
4.850741e-03 5.299605e-03 4.555689e+03 1.001595e-02 4.400485e+03
5.614582e-03 4.802598e-03 4.227394e+03 6.557366e-02 4.149764e+03
6.205761e-03 4.801765e-03 4.245133e+03 4.798957e-02 4.176378e+03
7.043819e-03 4.450253e-03 4.100524e+03 1.453237e-02 4.047581e+03
7.885115e-03 5.434466e-03 4.270675e+03 9.899317e-03 4.161428e+03
8.411724e-03 4.405416e-03 4.147243e+03 7.806739e-03 4.052015e+03
9.483503e-03 4.361553e-03 4.268672e+03 1.593387e-02 4.193737e+03
1.134335e-02 4.731844e-03 4.321417e+03 5.183445e-02 4.252750e+03
1.294366e-02 4.374896e-03 4.093753e+03 5.058044e-03 4.030362e+03
1.466837e-02 5.569731e-03 4.163647e+03 4.570808e-03 4.073821e+03
1.661372e-02 4.353058e-03 4.195161e+03 5.885124e-03 4.137989e+03
1.806478e-02 5.554738e-03 4.493033e+03 2.134747e-02 4.422602e+03
2.121979e-02 5.444855e-03 4.266990e+03 9.716663e-03 4.176774e+03
2.372351e-02 4.794974e-03 4.344298e+03 6.936415e-02 4.174847e+03
2.644434e-02 5.685698e-03 4.311034e+03 6.031184e-02 4.235646e+03
3.042471e-02 5.704063e-03 4.309942e+03 2.078682e-02 4.196355e+03
3.286590e-02 4.893316e-03 4.236619e+03 6.478260e-03 4.171899e+03
3.703173e-02 4.377521e-03 4.122912e+03 5.110045e-03 4.058153e+03
4.232855e-02 5.598014e-03 4.354639e+03 6.178329e-03 4.285269e+03
4.836523e-02 5.069656e-03 4.267017e+03 5.612270e-03 4.206253e+03
5.380146e-02 4.361673e-03 4.329730e+03 4.967189e-02 4.211490e+03
6.392134e-02 5.609848e-03 4.417507e+03 1.030148e-02 4.337723e+03
7.085699e-02 5.148541e-03 4.269252e+03 6.214898e-03 4.191861e+03
7.563049e-02 4.377493e-03 4.160706e+03 5.315794e-03 4.105619e+03
8.776369e-02 4.585742e-03 4.212412e+03 6.858454e-03 4.148466e+03
