# s kappa_h4_nearest kappa_h4_safe kappa_norm_safe
1.171155091778118855e-04 5.753999508497104980e+05 6.254274888000672036e+03 4.199065590862151112e+03
2.147993732581896843e-04 9.402136173517575662e+04 9.099909674024844207e+03 4.133110151229911935e+03
3.969096304345938833e-04 3.835587907790511381e+05 5.494041021664761502e+03 4.151822607537455951e+03
4.902939374284982603e-04 6.365095809382004518e+04 9.860873069188326554e+03 4.173716548840345240e+03
5.668730414387640601e-04 2.803926212273543351e+05 7.204301437088896819e+03 4.359016483069282003e+03
8.007927032016574258e-04 4.194722201323736226e+04 1.125132556866608684e+04 4.153003513672000736e+03
1.201529297455427052e-03 1.542103639059308080e+04 7.988455668256437093e+03 4.304156908463171931e+03
1.410109679448322360e-03 1.639458959603907351e+04 1.100322537446634487e+04 4.320660277787055747e+03
1.838586071670754093e-03 9.303260014561489515e+04 9.005904155698695831e+03 4.148350977002910440e+03
2.118715621215459463e-03 2.874889743702877968e+04 1.396384576248229860e+04 4.135121309078974264e+03
2.344516990247511642e-03 1.328088491029976576e+05 7.125354721873884046e+03 4.331661301655904026e+03
2.768734440922179969e-03 6.355027053759079718e+04 9.512069211926645949e+03 4.087641308363213739e+03
3.492588627648226824e-03 8.487126077984827862e+04 1.187190845556935164e+04 4.249487670807754512e+03
3.913624673936296622e-03 7.810960703434319294e+04 5.405870211734832992e+03 4.419063692194887153e+03
4.355597416011432882e-03 1.970659484350362618e+04 5.050142004000103952e+03 4.289137680748084676e+03
4.850740620784828143e-03 2.937428645078525733e+04 5.664660909312922740e+03 4.555688803490822465e+03
5.614582290225373154e-03 1.869556964679480006e+04 9.727157766396059742e+03 4.227393999095032996e+03
6.205761103620361166e-03 3.212748167095295139e+04 9.205963559467545565e+03 4.245133483561144203e+03
7.043819260867939004e-03 3.241489358382584032e+04 1.015951786714887930e+04 4.100524879770994630e+03
7.885115456662809830e-03 2.295890939792854988e+04 8.076025262094124628e+03 4.270674722685243069e+03
8.411723884386150540e-03 2.458602851826517872e+04 1.492145720941657419e+04 4.147244710490079342e+03
9.483502652263267260e-03 1.903316463588101033e+04 1.220007677518913079e+04 4.268673134152570128e+03
1.134335323261014342e-02 1.832319703694448981e+04 9.785748916996277330e+03 4.321417541461790279e+03
1.294366135046630568e-02 1.114848020802002793e+04 1.105067981636885270e+04 4.093753425855205023e+03
1.466836846343853862e-02 1.214848806499644706e+04 5.541736736902103985e+03 4.163647005657942827e+03
1.661371745942717693e-02 1.543039467849102220e+04 1.156398546144224565e+04 4.195162004347240327e+03
1.806477617688760293e-02 1.319244523603357447e+04 5.101657998294437675e+03 4.493032950752462057e+03
2.121978878170836455e-02 1.072450247425014823e+04 8.096760278381068019e+03 4.266989858507740792e+03
2.372350895467498916e-02 1.084889610902203822e+04 9.195753898753097019e+03 4.344298262807755236e+03
2.644434367395529298e-02 9.417910976449076770e+03 5.523734482020945507e+03 4.311034183591060355e+03
3.042470816336736994e-02 1.083024069874330235e+04 6.249767996684851823e+03 4.309941872884296572e+03
3.286590492113214412e-02 1.047811439614057235e+04 1.047652653762413138e+04 4.236619008330136239e+03
3.703172703558795659e-02 1.122863426765492841e+04 1.088836897413846418e+04 4.122913443026941422e+03
4.232854606887156285e-02 7.006384135897335909e+03 5.714776321532888687e+03 4.354638880973285268e+03
4.836522609898082081e-02 9.372783981753924309e+03 8.918438552192910720e+03 4.267017266085120355e+03
5.380145927066921213e-02 1.324523471759845779e+04 1.295637693844009300e+04 4.329731253158895015e+03
6.392134031266810679e-02 8.693007042430648653e+03 8.109349039477515362e+03 4.417507213756672172e+03
7.085698560949531266e-02 9.835347005879313656e+03 9.578208508375879319e+03 4.269251719639560179e+03
7.563049106282686285e-02 1.125598849924864589e+04 1.116526984998066109e+04 4.160707407968274310e+03
8.776369461318869747e-02 1.117588217979993897e+04 1.104888827661017604e+04 4.212412820722236575e+03
