# min|phi|/h   L2(nearest)   L2(alpha0 rule)   kappa(h4)   kappa(norm)   kappa(safe)
1.171155e-04 1.095626e-02 1.182910e-02 5.754000e+05 5.106214e+04 4.199066e+03 1.101989e-13
2.147994e-04 1.055487e-02 1.070228e-02 9.402136e+04 1.526063e+04 4.133110e+03 5.389132e-13
3.969096e-04 5.586502e-03 6.917863e-03 3.835588e+05 6.898125e+04 4.151823e+03 8.266056e-13
4.902939e-04 6.740076e-03 6.320006e-03 6.365096e+04 6.846128e+04 4.173717e+03 2.727140e-12
5.668730e-04 6.224810e-03 7.507704e-03 2.803926e+05 6.354572e+04 4.359016e+03 1.544439e-12
8.007927e-04 7.296446e-03 7.591796e-03 4.194722e+04 4.685987e+04 4.153004e+03 1.018993e-12
1.201529e-03 9.034532e-03 8.792307e-03 1.542104e+04 5.442039e+03 4.304157e+03 8.448455e-14
1.410110e-03 7.345122e-03 7.451104e-03 1.639459e+04 5.610943e+03 4.320660e+03 1.794919e-14
1.838586e-03 6.699325e-03 7.394640e-03 9.303260e+04 2.297912e+04 4.148351e+03 2.633291e-12
2.118716e-03 1.089324e-02 1.149340e-02 2.874890e+04 2.496188e+04 4.135121e+03 3.468416e-13
2.344517e-03 1.100521e-02 1.199028e-02 1.328088e+05 1.385679e+04 4.331661e+03 1.186935e-13
2.768734e-03 6.889307e-03 7.773049e-03 6.355027e+04 1.515022e+04 4.087641e+03 1.342091e-13
3.492589e-03 1.250572e-02 1.211646e-02 8.487126e+04 5.829503e+03 4.249488e+03 5.715032e-14
3.913625e-03 1.012119e-02 1.206780e-02 7.810961e+04 7.044569e+03 4.419064e+03 2.845161e-14
4.355597e-03 6.919583e-03 8.146892e-03 1.970659e+04 6.240749e+03 4.289138e+03 3.008372e-13
4.850741e-03 6.252585e-03 6.846551e-03 2.937429e+04 7.137841e+03 4.555689e+03 1.154155e-13
5.614582e-03 6.670886e-03 7.583544e-03 1.869557e+04 1.347992e+04 4.227394e+03 2.164866e-13
6.205761e-03 7.056907e-03 7.380666e-03 3.212748e+04 8.185715e+03 4.245133e+03 3.012515e-13
7.043819e-03 9.213787e-03 9.333251e-03 3.241489e+04 9.967229e+03 4.100525e+03 2.082319e-13
7.885115e-03 6.771970e-03 8.244892e-03 2.295891e+04 4.988502e+03 4.270675e+03 1.913532e-13
8.411724e-03 1.406034e-02 1.324520e-02 2.458603e+04 6.667790e+03 4.147245e+03 9.857830e-14
9.483503e-03 1.154797e-02 1.110873e-02 1.903316e+04 4.512299e+03 4.268673e+03 2.628831e-14
1.134335e-02 6.539262e-03 7.215599e-03 1.832320e+04 4.595993e+03 4.321418e+03 1.193752e-14
1.294366e-02 1.139304e-02 1.165406e-02 1.114848e+04 4.119885e+03 4.093753e+03 8.206908e-14
1.466837e-02 6.118268e-03 7.565259e-03 1.214849e+04 4.507452e+03 4.163647e+03 2.835318e-13
1.661372e-02 1.352633e-02 1.273296e-02 1.543039e+04 4.839195e+03 4.195162e+03 3.590941e-14
1.806478e-02 9.242167e-03 1.092718e-02 1.319245e+04 4.518426e+03 4.493033e+03 1.128057e-13
2.121979e-02 6.901264e-03 8.434875e-03 1.072450e+04 5.068848e+03 4.266990e+03 1.656483e-13
2.372351e-02 6.848464e-03 7.422712e-03 1.084890e+04 5.184542e+03 4.344298e+03 4.724065e-14
2.644434e-02 1.039341e-02 1.114256e-02 9.417911e+03 4.281285e+03 4.311034e+03 1.854326e-13
3.042471e-02 1.236761e-02 1.289356e-02 1.083024e+04 4.312484e+03 4.309942e+03 1.556924e-14
3.286590e-02 7.704852e-03 7.914785e-03 1.047811e+04 4.231274e+03 4.236619e+03 1.913748e-15
3.703173e-02 1.164210e-02 1.124721e-02 1.122863e+04 4.399955e+03 4.122913e+03 9.104164e-14
4.232855e-02 1.013230e-02 1.037436e-02 7.006384e+03 4.348319e+03 4.354639e+03 4.622596e-14
4.836523e-02 8.101514e-03 8.682134e-03 9.372784e+03 4.280009e+03 4.267017e+03 2.348933e-13
5.380146e-02 1.009751e-02 1.047175e-02 1.324523e+04 4.256623e+03 4.329731e+03 5.274175e-14
6.392134e-02 1.357778e-02 1.382043e-02 8.693007e+03 4.412038e+03 4.417507e+03 9.748235e-14
7.085699e-02 7.910226e-03 7.970647e-03 9.835347e+03 4.259644e+03 4.269252e+03 9.956283e-14
7.563049e-02 1.161542e-02 1.150068e-02 1.125599e+04 4.188694e+03 4.160707e+03 1.045426e-15
8.776369e-02 7.109116e-03 7.261913e-03 1.117588e+04 4.194760e+03 4.212413e+03 2.818361e-14
