# min|phi|/h    L2_error
1.171155e-04 5.696836e-03
2.147994e-04 5.309987e-03
3.969096e-04 5.557734e-03
4.902939e-04 4.646008e-03
5.668730e-04 5.439419e-03
7.459757e-04 4.358109e-03
8.007927e-04 4.591201e-03
1.201529e-03 5.418310e-03
1.410110e-03 4.850207e-03
1.838586e-03 5.179444e-03
1.932173e-03 5.643429e-03
1.964323e-03 4.654226e-03
2.118716e-03 4.379403e-03
2.177451e-03 5.243886e-03
2.344517e-03 5.580869e-03
2.713921e-03 5.299908e-03
2.768734e-03 4.998807e-03
3.492589e-03 4.357706e-03
3.618024e-03 5.545765e-03
3.643657e-03 4.417920e-03
3.766566e-03 5.715442e-03
3.913625e-03 5.539374e-03
3.961382e-03 5.556820e-03
3.999021e-03 4.535389e-03
4.355597e-03 5.543340e-03
4.654976e-03 5.657342e-03
4.681910e-03 5.410054e-03
4.707473e-03 5.444845e-03
4.850741e-03 5.294060e-03
4.940104e-03 5.654176e-03
5.025004e-03 4.417061e-03
5.048056e-03 5.658034e-03
5.558321e-03 5.676045e-03
5.614582e-03 4.793696e-03
5.828122e-03 5.634514e-03
5.864743e-03 5.714986e-03
6.077416e-03 5.351202e-03
6.196181e-03 5.530596e-03
6.205761e-03 4.796305e-03
6.294040e-03 4.358242e-03
6.397597e-03 5.031237e-03
6.408538e-03 5.358876e-03
6.580488e-03 4.409240e-03
6.696178e-03 5.687460e-03
6.846749e-03 5.357352e-03
7.043819e-03 4.446735e-03
7.183123e-03 5.628622e-03
7.254146e-03 4.359754e-03
7.330335e-03 5.697523e-03
7.387363e-03 4.492056e-03
7.417331e-03 5.529069e-03
7.660902e-03 4.584968e-03
7.885115e-03 5.425160e-03
8.234039e-03 4.361977e-03
8.258666e-03 4.792304e-03
8.335571e-03 5.267361e-03
8.371702e-03 5.394362e-03
8.411724e-03 4.402548e-03
8.786612e-03 5.140512e-03
9.383589e-03 5.470441e-03
9.413303e-03 4.644686e-03
9.429906e-03 5.070874e-03
9.483503e-03 4.361776e-03
9.649902e-03 5.544853e-03
1.042180e-02 5.507917e-03
1.074775e-02 5.405979e-03
1.122052e-02 5.688715e-03
1.129692e-02 5.424203e-03
1.134335e-02 4.722001e-03
1.146581e-02 5.666784e-03
1.176431e-02 5.317958e-03
1.178398e-02 4.839378e-03
1.210117e-02 5.638475e-03
1.214581e-02 4.465343e-03
1.224448e-02 5.643814e-03
1.230689e-02 4.387733e-03
1.277901e-02 5.206128e-03
1.281629e-02 4.469295e-03
1.294366e-02 4.375332e-03
1.308388e-02 5.678918e-03
1.324533e-02 4.389579e-03
1.325342e-02 5.593878e-03
1.340313e-02 5.215225e-03
1.351990e-02 5.088895e-03
1.376433e-02 4.623217e-03
1.381541e-02 4.610016e-03
1.399530e-02 4.642623e-03
