# min|phi|/h   L2(nearest)   L2(alpha0 rule)   kappa(h4)   kappa(norm)   kappa(safe)
1.171155e-04 5.696836e-03 5.701519e-03 5.754000e+05 5.106214e+04 4.199066e+03 1.244213e-12
2.147994e-04 5.309987e-03 5.314558e-03 9.402136e+04 1.526063e+04 4.133110e+03 9.008497e-13
3.969096e-04 5.557734e-03 5.560875e-03 3.835588e+05 6.898125e+04 4.151823e+03 1.088858e-12
4.902939e-04 4.646008e-03 4.642692e-03 6.365096e+04 6.846128e+04 4.173717e+03 2.807813e-13
5.668730e-04 5.439419e-03 5.438912e-03 2.803926e+05 6.354572e+04 4.359016e+03 2.230665e-12
8.007927e-04 4.591201e-03 4.594904e-03 4.194722e+04 4.685987e+04 4.153004e+03 8.690240e-13
1.201529e-03 5.418310e-03 5.421767e-03 1.542104e+04 5.442039e+03 4.304157e+03 6.707342e-14
1.410110e-03 4.850207e-03 4.849932e-03 1.639459e+04 5.610943e+03 4.320660e+03 0.000000e+00
1.838586e-03 5.179444e-03 5.177724e-03 9.303260e+04 2.297912e+04 4.148351e+03 1.190657e-12
2.118716e-03 4.379403e-03 4.384878e-03 2.874890e+04 2.496188e+04 4.135121e+03 8.314339e-13
2.344517e-03 5.580869e-03 5.575154e-03 1.328088e+05 1.385679e+04 4.331661e+03 4.541284e-13
2.768734e-03 4.998807e-03 5.009208e-03 6.355027e+04 1.515022e+04 4.087641e+03 5.899468e-15
3.492589e-03 4.357706e-03 4.357386e-03 8.487126e+04 5.829503e+03 4.249488e+03 1.727675e-13
3.913625e-03 5.539374e-03 5.535931e-03 7.810961e+04 7.044569e+03 4.419064e+03 1.096068e-15
4.355597e-03 5.543340e-03 5.541250e-03 1.970659e+04 6.240749e+03 4.289138e+03 2.138933e-13
4.850741e-03 5.294060e-03 5.299605e-03 2.937429e+04 7.137841e+03 4.555689e+03 2.088919e-13
5.614582e-03 4.793696e-03 4.802598e-03 1.869557e+04 1.347992e+04 4.227394e+03 1.241235e-13
6.205761e-03 4.796305e-03 4.801765e-03 3.212748e+04 8.185715e+03 4.245133e+03 8.680300e-14
7.043819e-03 4.446735e-03 4.450253e-03 3.241489e+04 9.967229e+03 4.100525e+03 3.471994e-13
7.885115e-03 5.425160e-03 5.434466e-03 2.295891e+04 4.988502e+03 4.270675e+03 1.424510e-13
8.411724e-03 4.402548e-03 4.405416e-03 2.458603e+04 6.667790e+03 4.147245e+03 5.260263e-14
9.483503e-03 4.361776e-03 4.361553e-03 1.903316e+04 4.512299e+03 4.268673e+03 8.749628e-15
1.134335e-02 4.722001e-03 4.731844e-03 1.832320e+04 4.595993e+03 4.321418e+03 8.339309e-14
1.294366e-02 4.375332e-03 4.374896e-03 1.114848e+04 4.119885e+03 4.093753e+03 4.480203e-14
1.466837e-02 5.562587e-03 5.569731e-03 1.214849e+04 4.507452e+03 4.163647e+03 3.372718e-13
1.661372e-02 4.353787e-03 4.353058e-03 1.543039e+04 4.839195e+03 4.195162e+03 8.845371e-14
1.806478e-02 5.562641e-03 5.554738e-03 1.319245e+04 4.518426e+03 4.493033e+03 9.012537e-14
2.121979e-02 5.437456e-03 5.444855e-03 1.072450e+04 5.068848e+03 4.266990e+03 1.968429e-13
2.372351e-02 4.786814e-03 4.794974e-03 1.084890e+04 5.184542e+03 4.344298e+03 7.900238e-14
2.644434e-02 5.688359e-03 5.685698e-03 9.417911e+03 4.281285e+03 4.311034e+03 5.565525e-14
3.042471e-02 5.699101e-03 5.704063e-03 1.083024e+04 4.312484e+03 4.309942e+03 1.435177e-13
3.286590e-02 4.895935e-03 4.893316e-03 1.047811e+04 4.231274e+03 4.236619e+03 5.669106e-15
3.703173e-02 4.376304e-03 4.377521e-03 1.122863e+04 4.399955e+03 4.122913e+03 5.450364e-14
4.232855e-02 5.599983e-03 5.598014e-03 7.006384e+03 4.348319e+03 4.354639e+03 1.197273e-13
4.836523e-02 5.071340e-03 5.069656e-03 9.372784e+03 4.280009e+03 4.267017e+03 2.924648e-14
5.380146e-02 4.361745e-03 4.361673e-03 1.324523e+04 4.256623e+03 4.329731e+03 2.087994e-14
6.392134e-02 5.611965e-03 5.609848e-03 8.693007e+03 4.412038e+03 4.417507e+03 8.608758e-14
7.085699e-02 5.145542e-03 5.148541e-03 9.835347e+03 4.259644e+03 4.269252e+03 6.810052e-14
7.563049e-02 4.376025e-03 4.377493e-03 1.125599e+04 4.188694e+03 4.160707e+03 1.902794e-14
8.776369e-02 4.585387e-03 4.585742e-03 1.117588e+04 4.194760e+03 4.212413e+03 2.014531e-13
